group,name,vers,desc,url,build
mobile,androbugs,1.7fd3a2c,"An efficient Android vulnerability scanner that helps developers or hackers find potential security vulnerabilities in Android applications.","https://github.com/AndroBugs/AndroBugs_Framework",1491745695
binary,androguard,1429.abed877,"Reverse engineering, Malware and goodware analysis of Android applications and more.","https://github.com/androguard/androguard",1519861544
mobile,androick,5.35048d7,"A python tool to help in forensics analysis on android.","https://github.com/Flo354/Androick",1483189425
reversing,android-apktool,2.3.0,"A tool for reengineering Android apk files.","http://forum.xda-developers.com/showthread.php?t=1755243",1511041155
mobile,android-ndk,r16,"Android C/C++ developer kit.","http://developer.android.com/sdk/ndk/index.html",1511041342
mobile,android-sdk,26.1.1,"Google Android SDK","https://developer.android.com/studio/releases/sdk-tools.html",1511043148
,android-sdk-build-tools,r26.0.1,"Build-Tools for Google Android SDK (aapt, aidl, dexdump, dx, llvm-rs-cc)","http://developer.android.com/sdk/index.html",1501920700
,android-sdk-platform-tools,r26.0.2,"Platform-Tools for Google Android SDK (adb and fastboot)","http://developer.android.com/sdk/index.html",1511043287
mobile,android-udev-rules,344.5aa8536,"Android udev rules.","https://github.com/bbqlinux/android-udev-rules",1519861560
mobile,androidpincrack,2.ddaf307,"Bruteforce the Android Passcode given the hash and salt.","https://github.com/PentesterES/AndroidPINCrack",1483189433
mobile,androidsniffer,0.1,"A perl script that lets you search for 3rd party passwords, dump the call log, dump contacts, dump wireless configuration, and more.","http://packetstormsecurity.com/files/97464/Andr01d-Magic-Dumper.1.html",1484422178
mobile,androwarn,124.e0e5ad0,"Yet another static code analyzer for malicious Android applications.","https://github.com/maaaaz/androwarn",1483189468
binary,angr,7.8.2.21,"The next-generation binary analysis platform from UC Santa Barbara's Seclab.","https://github.com/angr/angr",1520010574
exploitation,angrop,141.ce5d98b,"A rop gadget finder and chain builder.","https://github.com/salls/angrop",1506247509
social,anontwi,1.1b,"A free software python client designed to navigate anonymously on social networks. It supports Identi.ca and Twitter.com.","http://anontwi.sourceforge.net/",1446849882
webapp,anti-xss,165.6534a4d,"A XSS vulnerability scanner.","https://github.com/lewangbtcc/anti-XSS",1486629781
windows,antiransom,3.02,"A tool capable of detect and stop attacks of Ransomware using honeypots.","http://www.security-projects.com/?Anti_Ransom___Download",1496231904
,apache-tika,1.16,"Toolkit for detecting and extracting metadata and structured text content.","https://tika.apache.org/",1502184468
scanner,apache-users,2.1,"This perl script will enumerate the usernames on a unix system that use the apache module UserDir.","https://labs.portcullis.co.uk/downloads/",1483189580
networking,apacket,181.4aae292,"Sniffer syn and backscatter packets.","https://github.com/Acey9/apacket",1520157575
wireless,aphopper,0.3,"A program that automatically hops between access points of different wireless networks.","http://aphopper.sourceforge.net/",1496436774
recon,api-dnsdumpster,59.eda15d6,"Unofficial Python API for http://dnsdumpster.com/.","https://github.com/PaulSec/API-dnsdumpster.com",1518978125
mobile,apkid,148.eef3689,"Android Application Identifier for Packers, Protectors, Obfuscators and Oddities.","https://github.com/rednaga/APKiD",1517181126
mobile,apkstat,18.81cdad3,"Automated Information Retrieval From APKs For Initial Analysis.","https://github.com/hexabin/APKStat",1503151303
reversing,apkstudio,100.9e114ca,"An IDE for decompiling/editing & then recompiling of android application binaries.","http://www.vaibhavpandey.com/apkstudio/",1486332188
wireless,apnbf,0.1,"A small python script designed for enumerating valid APNs (Access Point Name) on a GTP-C speaking device.","http://www.c0decafe.de/",1483189605
mobile,appmon,143.d8fac93,"A runtime security testing & profiling framework for native apps on macOS, iOS & android and it is built using Frida.","https://github.com/dpnishant/appmon",1518978156
automation,apt2,156.e612ac9,"Automated penetration toolkit.","https://github.com/MooseDojo/apt2",1518562852
recon,aquatone,63.8d3496b,"a set of tools for performing reconnaissance on domain names.","https://github.com/michenriksen/aquatone",1515178785
webapp,arachni,1.5.1,"A feature-full, modular, high-performance Ruby framework aimed towards helping penetration testers and administrators evaluate the security of web applications.","https://www.arachni-scanner.com",1490869650
spoof,aranea,6.469b9ee,"A fast and clean dns spoofing tool.","https://github.com/TigerSecurity",1483189707
hardware,arduino,1.8.5,"Arduino prototyping platform SDK","https://github.com/arduino/Arduino",1506963925
crypto,argon2,20171227,"A password-hashing function (reference C implementation)","https://github.com/P-H-C/phc-winner-argon2",1515422786
networking,argus,3.0.8.2,"Network monitoring tool with flow control.","http://qosient.com/argus/",1511629077
networking,argus-clients,3.0.8.2,"Network monitoring client for Argus.","http://qosient.com/argus/",1469881415
exploitation,armitage,150813,"A graphical cyber attack management tool for Metasploit.","http://www.fastandeasyhacking.com/",1483189738
exploitation,armscgen,98.c51b7d6,"ARM Shellcode Generator (Mostly Thumb Mode).","https://github.com/alexpark07/ARMSCGen",1503743360
networking,arp-scan,1.9,"A tool that uses ARP to discover and fingerprint IP hosts on the local network","http://www.nta-monitor.com/tools/arp-scan/",1470780618
networking,arpalert,2.0.12,"Monitor ARP changes in ethernet networks.","http://www.arpalert.org/",1426902750
exploitation,arpoison,0.7,"The UNIX arp cache update utility","http://www.arpoison.net",1424009573
defensive,arpon,2.7,"A portable handler daemon that make ARP protocol secure in order to avoid the Man In The Middle (MITM) attack through ARP Spoofing, ARP Cache Poisoning or ARP Poison Routing (APR) attacks.","http://arpon.sourceforge.net/",1391265506
defensive,arpstraw,27.ab40e13,"Arp spoof detection tool.","https://github.com/he2ss/arpstraw",1488212735
networking,arpwner,26.f300fdf,"GUI-based python tool for arp posioning and dns poisoning attacks.","https://github.com/ntrippar/ARPwner",1483189769
defensive,artillery,211.ff2157b,"A combination of a honeypot, file-system monitoring, system hardening, and overall health of a server to create a comprehensive way to secure a system.","https://www.trustedsec.com/downloads/artillery/",1514112407
defensive,artlas,140.728aea5,"Apache Real Time Logs Analyzer System.","https://github.com/mthbernardes/ARTLAS",1487966845
misc,arybo,39.b3a468b,"Manipulation, canonicalization and identification of mixed boolean-arithmetic symbolic expressions.","https://github.com/quarkslab/arybo",1519944949
cracker,asleap,2.2,"Actively recover LEAP/PPTP passwords.","http://www.willhackforsushi.com/Asleap.html",1388156057
fingerprint,asp-audit,2BETA,"An ASP fingerprinting tool and vulnerability scanner.","http://seclists.org/basics/2006/Sep/128",1390483044
wireless,atear,139.245ec8d,"Wireless Hacking, WiFi Security, Vulnerability Analyzer, Pentestration.","https://github.com/NORMA-Inc/AtEar",1486818029
networking,atftp,0.7.1,"Client/server implementation of the TFTP protocol that implements RFCs 1350, 2090, 2347, 2348, and 2349","http://sourceforge.net/projects/atftp/",1507710940
scanner,athena-ssl-scanner,0.6.2,"A SSL cipher scanner that checks all cipher codes. It can identify about 150 different ciphers.","http://packetstormsecurity.com/files/93062/Athena-SSL-Cipher-Scanner.html",1496437097
scanner,atscan,1830.e2dfd48,"Server, Site and Dork Scanner.","https://github.com/AlisamTechnology/ATSCAN-V3.1",1514375531
windows,atstaketools,0.1,"This is an archive of various @Stake tools that help perform vulnerability scanning and analysis, information gathering, password auditing, and forensics.","http://packetstormsecurity.com/files/50718/AtStakeTools.zip.html",1483189813
crypto,auto-xor-decryptor,7.2eb176d,"Automatic XOR decryptor tool.","http://www.blog.mrg-effitas.com/publishing-of-mrg-effitas-automatic-xor-decryptor-tool/",1483189927
,automake.11,1.11.6,"A GNU tool for automatically creating Makefiles","http://www.gnu.org/software/automake",1483189823
automation,automato,25.5c32f2b,"Should help with automating some of the user-focused enumeration tasks during an internal penetration test.","https://github.com/skahwah/automato",1517516942
automation,autonessus,24.7933022,"This script communicates with the Nessus API in an attempt to help with automating scans.","https://github.com/redteamsecurity/AutoNessus",1492807474
forensic,autopsy,2.24,"A GUI for The Sleuth Kit.","http://www.sleuthkit.org/autopsy",1483189830
automation,autopwn,177.2f3f605,"Specify targets and run sets of tools against them.","https://github.com/nccgroup/autopwn",1483189911
recon,autosint,234.e1f4937,"Tool to automate common osint tasks.","https://github.com/bharshbarger/AutOSINT",1511043386
exploitation,autosploit,29.c25865d,"Automate the exploitation of remote hosts.","https://github.com/NullArray/AutoSploit",1517613812
automation,autovpn,16.72dd7f6,"Easily connect to a VPN in a country of your choice.","https://github.com/adtac/autovpn",1491746829
,avr-libc-manpages,2.0.0,"Man pages for the standard C library for Atmel AVR 8-bit RISC microcontrollers.","http://www.nongnu.org/avr-libc/",1483189933
automation,awsbucketdump,74.73365f9,"A tool to quickly enumerate AWS S3 buckets to look for loot.","https://github.com/jordanpotti/AWSBucketDump",1515932099
backdoor,azazel,14.e6a12a2,"A userland rootkit based off of the original LD_PRELOAD technique from Jynx rootkit.","https://github.com/chokepoint/azazel",1492465373
backdoor,backcookie,51.6dabc38,"Small backdoor using cookie.","https://github.com/mrjopino/backcookie",1483189948
backdoor,backdoor-factory,198.87bd28d,"Patch win32/64 binaries with shellcode.","https://github.com/secretsquirrel/the-backdoor-factory",1501704121
backdoor,backdoorme,308.f9755ca,"A powerful utility capable of backdooring Unix machines with a slew of backdoors.","https://github.com/Kkevsterrr/backdoorme",1514112425
backdoor,backdoorppt,86.b044ccf,"Transform your payload.exe into one fake word doc (.ppt).","https://github.com/r00txp10it/backdoorppt",1503584614
fuzzer,backfuzz,36.8e54ed6,"A network protocol fuzzing toolkit.","https://github.com/localh0t/backfuzz",1483189974
mobile,backhack,34.b987c5a,"Tool to perform Android app analysis by backing up and extracting apps, allowing you to analyze and modify file system contents for apps.","https://github.com/l0gan/backHack",1494065877
windows,backorifice,1.0,"A remote administration system which allows a user to control a computer across a tcpip connection using a simple console or GUI application.","http://www.cultdeadcow.com/tools/bo.html",1486203579
,backports-drivers-frag+ack,1,"mac80211.compat08082009.wl_frag+ack_v1.patch for compat-drivers-patched","https://backports.wiki.kernel.org/index.php/Main_Page",1483189988
malware,balbuzard,67.d6349ef1bc55,"A package of malware analysis tools in python to extract patterns of interest from suspicious files (IP addresses, domain names, known file headers, interesting strings, etc).","https://bitbucket.org/decalage/balbuzard/",1423852408
malware,bamf-framework,35.30d2b4b,"A modular framework designed to be a platform to launch attacks against botnets.","https://github.com/bwall/BAMF",1483190008
mobile,bandicoot,0.5.3,"A toolbox to analyze mobile phone metadata.","https://github.com/yvesalexandre/bandicoot",1483190017
binary,barf,812.90594d3,"A multiplatform open source Binary Analysis and Reverse engineering Framework.","https://github.com/programa-stic/barf-project",1519592691
scanner,barmie,1.01,"Java RMI enumeration and attack tool.","https://github.com/NickstaDB/BaRMIe",1506768380
misc,base64dump,0.0.8,"Extract and decode base64 strings from files.","http://blog.didierstevens.com/2015/10/12/update-base64dump-py-version-0-3/",1511045762
recon,basedomainname,0.1,"Tool that can extract TLD (Top Level Domain), domain extensions (Second Level Domain + TLD), domain name, and hostname from fully qualified domain names.","http://www.morningstarsecurity.com/research",1484422193
wireless,batctl,2017.4,"B.A.T.M.A.N. advanced control and management tool","http://www.open-mesh.net/",1513921535
wireless,batman-adv,2017.3,"Batman kernel module, (included upstream since .38)","http://www.open-mesh.net/",1507326316
wireless,batman-alfred,2017.3,"Almighty Lightweight Fact Remote Exchange Daemon","http://www.open-mesh.org/",1507325605
webapp,bbqsql,259.4f7c086,"SQL injection exploit tool.","https://github.com/neohapsis/bbqsql",1483190063
webapp,bbscan,39.57a2e33,"A tiny Batch weB vulnerability Scanner.","https://github.com/lijiejie/bbscan",1506701557
proxy,bdfproxy,101.f9d50ec,"Patch Binaries via MITM: BackdoorFactory + mitmProxy","https://github.com/secretsquirrel/BDFProxy",1501704780
malware,bdlogparser,1,"This is a utility to parse a Bit Defender log file, in order to sort them into a malware archive for easier maintanence of your malware collection.","http://magikh0e.xyz/",1421619927
exploitation,bed,0.5,"Collection of scripts to test for buffer overflows, format string vulnerabilities.","http://www.aldeid.com/wiki/Bed",1483190145
exploitation,beef,2999.dfc08595,"The Browser Exploitation Framework that focuses on the web browser","http://beefproject.com/",1518978216
honeypot,beeswarm,1182.9f39f33,"Honeypot deployment made easy http://www.beeswarm-ids.org/","https://github.com/honeynet/beeswarm/",1485539508
wireless,beholder,0.8.10,"A wireless intrusion detection tool that looks for anomalies in a wifi environment.","http://www.beholderwireless.org/",1421536803
scanner,belati,59.d413f49,"The Traditional Swiss Army Knife for OSINT.","https://github.com/aancw/Belati",1517249837
cracker,beleth,36.0963699,"A Multi-threaded Dictionary based SSH cracker.","https://github.com/chokepoint/Beleth",1409657631
sniffer,bettercap,1015.3946fdd,"A complete, modular, portable and easily extensible MITM framework.","https://github.com/evilsocket/bettercap",1515178902
recon,bfac,44.33be807,"An automated tool that checks for backup artifacts that may disclose the web-application's source code.","https://github.com/mazen160/bfac",1515958960
exploitation,bfbtester,2.0.1,"Performs checks of single and multiple argument command line overflows and environment variable overflows","http://sourceforge.net/projects/bfbtester/",1388156085
cracker,bgp-md5crack,0.1,"RFC2385 password cracker","http://www.c0decafe.de/",1399081970
reversing,binaryninja-demo,1.1.1038,"A new kind of reversing platform (demo version).","http://binary.ninja/demo.html",1520010208
binary,binaryninja-python,13.83f59f7,"Binary Ninja prototype written in Python.","https://github.com/Vector35/binaryninja-python",1483190252
networking,bind-tools,9.12.0,"The ISC DNS tools","https://www.isc.org/software/bind/",1517665153
binary,bindead,4504.67019b97b,"A static analysis tool for binaries","https://bitbucket.org/mihaila/bindead",1483190348
binary,bindiff,4.2.0,"A comparison tool for binary files, that assists vulnerability researchers and engineers to quickly find differences and similarities in disassembled code.","http://www.zynamics.com/bindiff.html",1458332201
exploitation,binex,1.0,"Format String exploit building tool.","http://www.morxploit.com/morxtool",1423228272
binary,binflow,4.c4140d7,"POSIX function tracing. Much better and faster than ftrace.","https://github.com/elfmaster/binflow",1441785016
recon,bing-ip2hosts,0.4,"Enumerates all hostnames which Bing has indexed for a specific IP address.","http://www.morningstarsecurity.com/research/bing-ip2hosts",1483190358
webapp,bing-lfi-rfi,0.1,"This is a python script for searching Bing for sites that may have local and remote file inclusion vulnerabilities.","http://packetstormsecurity.com/files/121590/Bing-LFI-RFI-Scanner.html",1483190365
scanner,bingoo,3.698132f,"A Linux bash based Bing and Google Dorking Tool.","https://github.com/Hood3dRob1n/BinGoo",1484687841
disassembler,binnavi,6.1.0,"A binary analysis IDE that allows to inspect, navigate, edit and annotate control flow graphs and call graphs of disassembled code.","https://github.com/google/binnavi",1458329902
proxy,binproxy,5.01d6c52,"A proxy for arbitrary TCP connections.","https://github.com/nccgroup/BinProxy/",1519861632
disassembler,binwalk,2.1.1,"A tool for searching a given binary image for embedded files","http://binwalk.org",1482579002
binary,binwally,4.0aabd8b,"Binary and Directory tree comparison tool using the Fuzzy Hashing concept (ssdeep).","https://github.com/bmaia/binwally",1483190432
cracker,bios_memimage,1.2,"A tool to dump RAM contents to disk (aka cold boot attack).","http://citp.princeton.edu/memory/code/",1391265689
scanner,birp,65.b2e108a,"A tool that will assist in the security assessment of mainframe applications served over TN3270.","https://github.com/sensepost/birp",1516886318
,bisect,1.3,"Code coverage tool for OCaml.","http://bisect.x9c.fr/",1398899343
exploitation,bitdump,34.6a5cbd8,"A tool to extract database data from a blind SQL injection vulnerability.","https://github.com/nbshelton/bitdump",1483190453
sniffer,bittwist,2.0,"A simple yet powerful libpcap-based Ethernet packet generator. It is designed to complement tcpdump, which by itself has done a great job at capturing network traffic.","http://bittwist.sourceforge.net/",1409145400
cracker,bkhive,1.1.1,"Program for dumping the syskey bootkey from a Windows NT/2K/XP system hive.","http://sourceforge.net/projects/ophcrack",1399414599
,blackarch-config-awesome,21.d424b89,"BlackArch menu, theme and config for awesome window manager.","https://github.com/BlackArch/blackarch-config-awesome",1511452838
,blackarch-config-bash,1.73194a8,"BlackArch config for the bash shell.","https://github.com/BlackArch/blackarch-config-bash",1483190469
,blackarch-config-fluxbox,19.db2e8d3,"BlackArch menu, theme and config for fluxbox window manager.","https://github.com/BlackArch/blackarch-config-fluxbox",1511452862
,blackarch-config-gtk,1.786308c,"BlackArch config for gtk.","https://github.com/BlackArch/blackarch-config-gtk",1483190486
,blackarch-config-lxdm,5.068bab5,"BlackArch config for lxdm X11 login manager.","https://github.com/BlackArch/blackarch-config-lxdm",1484160445
,blackarch-config-openbox,18.4b9c757,"BlackArch menu, theme and config for openbox window manager.","https://github.com/BlackArch/blackarch-config-openbox",1511452882
,blackarch-config-spectrwm,1.0f7c54b,"BlackArch menu, theme and config for spectrwm window manager.","https://github.com/BlackArch/blackarch-config-spectrwm",1483190523
,blackarch-config-vim,1.58f8f60,"BlackArch config for the VIM editor.","https://github.com/BlackArch/blackarch-config-vim",1483190532
,blackarch-config-wmii,1.8c8d638,"BlackArch menu, theme and config for wmii window manager.","https://github.com/BlackArch/blackarch-config-wmii",1483190541
,blackarch-config-x11,1.f195684,"BlackArch config for the X11 user settings.","https://github.com/BlackArch/blackarch-config-x11",1483190547
,blackarch-devtools,1.1,"Tools for BlackArch Linux package maintainers",,1486743038
,blackarch-dwm,6.0,"Dynamic window manager for X with BlackArch colors.","http://dwm.suckless.org",1391265803
,blackarch-installer,0.6.2,"The official BlackArch Linux installer.","https://github.com/BlackArch/blackarch-installer",1512999646
,blackarch-keyring,20140118,"BlackArch Linux PGP keyring","https://github.com/BlackArch/blackarch-keyring",1390149390
,blackarch-menus,0.2,"BlackArch specific XDG-compliant menu","http://www.blackarch.org/",1483190643
,blackarch-mirrorlist,20150529,"BlackArch Project mirrorlist for use by pacman",,1483190648
,blackarch-wallpaper,1.0,"BlackArch Linux wallpaper.","https://github.com/BlackArch/blackarch-artwork",1484161928
scanner,blackbox-scanner,168.43e2b2a,"Dork scanner & bruteforcing & hash cracker tool with blackbox penetration testing framework.","https://github.com/darkeyepy/blackbox",1483190656
cracker,blackhash,0.2,"Creates a filter from system hashes","http://16s.us/blackhash/",1390483495
,blackman,0.5.9,"Emerge for BlackArch Linux - Download and compile packages as emerge does.","https://github.com/BlackArch/blackman",1520070266
,blackmate,49.6e5f2d3,"BlackArch specific Xfce4 WM.","https://github.com/Anyon3/blackmate",1497652093
dos,blacknurse,9.d2a2b23,"A low bandwidth ICMP attack that is capable of doing denial of service to well known firewalls.","https://github.com/jedisct1/blacknurse",1479492905
,bladerf,0.9.0,"Driver for bladeRF, allowing general purpose software defined radio (SDR).","https://github.com/Nuand/bladeRF",1401142479
scanner,bleah,30.1fa394f,"A BLE scanner for 'smart' devices hacking.","https://github.com/evilsocket/bleah",1518388482
crypto,bletchley,0.0.1,"A collection of practical application cryptanalysis tools.","https://code.google.com/p/bletchley/",1503512369
exploitation,blind-sql-bitshifting,54.5bbc183,"A blind SQL injection module that uses bitshfting to calculate characters.","https://github.com/libeclipse/blind-sql-bitshifting",1512324955
fingerprint,blindelephant,7,"A web application fingerprinter. Attempts to discover the version of a (known) web application by comparing static files at known locations","http://blindelephant.sourceforge.net/",1409656348
database,blindsql,1.0,"Set of bash scripts for blind SQL injection attacks.","http://www.enye-sec.org/programas.html",1483190679
scanner,blindy,12.59de8f2,"Simple script to automate brutforcing blind sql injection vulnerabilities.","https://github.com/missDronio/blindy",1500278759
webapp,blisqy,15.0d73ed0,"Exploit Time-based blind-SQL injection in HTTP-Headers (MySQL/MariaDB).","https://github.com/JohnTroony/Blisqy",1508189001
recon,bloodhound,433.c099666,"Six Degrees of Domain Admin","https://github.com/BloodHoundAD/BloodHound",1520023228
voip,bluebox-ng,1.1.0,"A GPL VoIP/UC vulnerability scanner.","https://github.com/jesusprubio/bluebox-ng",1485305357
bluetooth,bluebugger,0.1,"An implementation of the bluebug technique which was discovered by Martin Herfurt.","http://packetstormsecurity.com/files/54024/bluebugger.1.tar.gz.html",1391265851
bluetooth,bluediving,0.9,"A Bluetooth penetration testing suite.","http://bluediving.sourceforge.net/",1458338307
bluetooth,bluelog,1.1.2,"A Bluetooth scanner and sniffer written to do a single task, log devices that are in discoverable mode.","http://www.digifail.com/software/bluelog.shtml",1424013419
bluetooth,bluepot,0.1,"A Bluetooth Honeypot written in Java, it runs on Linux","https://code.google.com/p/bluepot/",1390483746
bluetooth,blueprint,0.1_3,"A perl tool to identify Bluetooth devices.","http://trifinite.org/trifinite_stuff_blueprinting.html",1483190697
automation,blueranger,1.0,"A simple Bash script which uses Link Quality to locate Bluetooth device radios.","http://www.hackfromacave.com/projects/blueranger.html",1390483765
bluetooth,bluescan,1.0.6,"A Bluetooth Device Scanner.","http://www.darknet.org.uk/2015/01/bluescan-bluetooth-device-scanner/",1483190706
bluetooth,bluesnarfer,0.1,"A bluetooth attacking tool","http://www.alighieri.org/project.html",1390483778
bluetooth,bluphish,9.a7200bd,"Bluetooth device and service discovery tool that can be used for security assessment and penetration testing.","https://github.com/olivo/BluPhish",1483190721
scanner,bluto,115.9b84a90,"Recon, Subdomain Bruting, Zone Transfers.","https://github.com/RandomStorm/Bluto",1519861652
forensic,bmap-tools,3.4,"Tool for copying largely sparse files using information from a block map file.","http://git.infradead.org/users/dedekind/bmap-tools.git",1507813776
cracker,bob-the-butcher,0.7.1,"A distributed password cracker package.","http://btb.banquise.net/",1391265934
code-audit,bof-detector,19.e08367d,"A simple detector of BOF vulnerabilities by source-code-level check.","https://github.com/st9140927/BOF_Detector",1483190744
misc,bokken,1.8,"GUI for radare2 and pyew.","http://inguma.eu/projects/bokken/",1491837781
dos,bonesi,12.733c9e9,"The DDoS Botnet Simulator.","https://github.com/Markus-Go/bonesi",1469115106
wireless,boopsuite,160.f3333ca,"A Suite of Tools written in Python for wireless auditing and security testing.","https://github.com/M1ND-B3ND3R/BoopSuite",1518562878
exploitation,bowcaster,174.0021c99,"A framework intended to aid those developing exploits.","https://github.com/zcutlip/bowcaster",1509265165
malware,box-js,354.dd067da,"A tool for studying JavaScript malware.","https://github.com/CapacitorSet/box-js",1519861732
scanner,braa,0.82,"A mass snmp scanner","http://s-tech.elsat.net.pl/braa/",1388156021
bluetooth,braces,0.4,"A Bluetooth Tracking Utility.","http://braces.shmoo.com/",1388156000
networking,bro,2.5.2,"A powerful network analysis framework that is much different from the typical IDS you may know.","https://www.bro.org/download/index.html",1508662556
exploitation,brosec,1.4.1,"An interactive reference tool to help security professionals utilize useful payloads and commands.","https://github.com/gabemarshall/Brosec",1515171268
windows,browselist,1.4,"Retrieves the browse list ; the output list contains computer names, and the roles they play in the network.","http://ntsecurity.nu/toolbox/browselist/",1469711211
fuzzer,browser-fuzzer,3,"Browser Fuzzer 3","http://www.krakowlabs.com/dev.html",1484422228
cracker,brut3k1t,80.1973a5a,"Brute-force attack that supports multiple protocols and services.","https://github.com/ex0dusx/brut3k1t",1506350082
windows,brute12,1,"A tool designed for auditing the cryptography container security in PKCS12 format.","http://www.security-projects.com/?Brute12",1468324660
